hostname,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2,distance_pc,model_G,model_BP,model_RP,model_H,model_g,model_r,model_i,model_z
EPIC 220492298,0.95,1000000.0,0.5,3.0,172.64536010797428,0.7743999999999999,173.41976010797427,596.995239257813,6.636838187815862,8.06790386424961,5.265029904290621,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-169,1.147,4700000000.000006,0.5,3.0,13.033034054967523,1.0816000000000001,14.114634054967523,407.605072021484,6.468239309181896,7.567794607428031,5.374230844513277,1.0397374184201182,13.24874144392733,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-204,1.076,6500000000.000002,0.5,3.0,13.850173990462476,1.3456000000000004,15.195773990462477,541.619506835938,6.659523319922262,7.778306609946272,5.54544909117343,1.0397374184201182,13.390652742839418,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-187,1.5400000032497194,2550000767.270148,0.12176942934746939,3.0,0.9489881121796265,0.23724470278018547,1.186232814959812,356.026733398438,4.262310205658579,5.342566025322485,3.196912602771385,0.6615068477675877,12.984857010454332,2.6075461645047113,1.9790633963695599,1.4235545357801156
K2-210,0.911717,1000000.0,0.5,3.0,216.72832190629725,4.0,220.72832190629725,176.888702392578,6.725517538900288,8.171075565007715,5.344134245335714,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-4406,1.189999998042083,2899999987.7551665,0.5,3.0,10.887449739352402,2.560000000000001,13.447449739352402,260.550048828125,6.3950748686774705,7.466206361655612,5.330522677668991,1.0397374184201182,13.03867065446776,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-386,0.911,1000000.0,0.5,3.0,203.3397180539762,2.903616,206.2433340539762,421.800720214844,6.727179050417528,8.17303351893875,5.345605479887438,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-150,0.457,123973722.49847175,0.5,3.0,743.5134483084535,2.6896000000000004,746.2030483084535,102.471412658691,12.374224962964158,14.65607132874876,10.588355296949707,1.0397374184201182,11.67158609318958,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-212,0.622,98259591.09755467,0.5,3.0,640.7179682664855,3.5343999999999998,644.2523682664855,107.28849029541,10.647335635333057,12.481046708303333,9.042669543800756,1.0397374184201182,11.57053472356398,2.6075461645047113,2.000914094274466,1.4454052336850218
K2-215,0.999987,1000000.0,0.5,3.0,198.6482786015212,2.4336,201.08187860152123,400.432220458984,6.524645007029382,7.937905831472403,5.163899076471374,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
